NO,ctg,syl,Barisal,ben,eng
1280,হানিবুগা,কানিবক ,কানিবক ,কানিবক ,Pond heron
1281,ধুয়াইজ্জে,ধোপা ,লন্ডি,ধোপা ,Washerman
1282,হামাইজ্জে,কামার ,কামারি,কামার,Blacksmith
1283,বদইল্লে,দিনমজুর ,বদলা,দিনমজুর ,Day laborer
1284,লটকি ,লটকি ,লটকি ,লটকি ,Latkan fruit
1285,উয়া,খাড়া,খারাখারি,উলম্ব ,Vertical
1286,হর/অর ,ফেখ,কাদা,কাদা ,Mud
1287,লাম্বা ,লম্বা,লোম্ফা,লম্বা,Tall
1288,খো/কো ,খরব,অবস্তা,অবস্থা ,Situation
1289,গোস্সা ,ঘুষা,রাগ,রাগ ,Anger
1290,ডউর গুলা,ডুমুর,ডুম্বুর,ডুমুর ,Fig
1291,ফালাদ্দে ,ফাল্লার,লাফায়,লাফাচ্ছে ,Jumping
1292,ফইল্লার,প্রথমের,পেরথম,প্রথমের,First
1293,হঁর,কাপড়,জামা কাফুর,পোশাক,Clothes
1294,বাংলা ভাষাত,বাংলা ভাষা,বাংলা ভাষা ,বাংলা ভাষা ,Bengali language
1295,আইয়্যেদ্দে,খাইল,আগামী,আগামী,Next
1296,মই মুরুব্বির,ময় মুরুব্বির,ময় মুরুব্বির ,ময় মুরুব্বির ,Respected elder
1297,নোয়াহাল্লে,নোয়াখালির,নোয়াখালির ,নোয়াখালির ,Of Noakhali
1298,লাটসাহেবর,লাটসাহেবের,লাসসাহেব,লাটসাহেবের ,Aristocrat
1299,অইন,আগুন,আগুন ,আগুন ,Fire
1300,কারিগর,খরমোচারি,কারিগর ,কারিগর ,Artisan
1301,ভাঙ্গা,ভাংগা,ভাঙ্গা ,ভাঙ্গা ,Broken
1302,প্রাসাদর,প্রাসাদের,প্রসাদের,প্রাসাদের,Palace’s
1303,কারিগরর,খরমোচারির,কারিগরের ,কারিগরের ,Artisan’s
1304,চিয়ুন,হুকনা,চেহন,চিকন,Thin
1305,নিত্ত,এসব,পেত্তেক দিন,রোজ ,Daily
1306,চইজ্জুম,হারি সময়,চরমু,চড়বো ,Will ride
1307,চালানো,থাখার,কারিগরের ,চলান্যি,Walking
1308,স্কুলর,ইসকুল'র,ইস্কুলের,স্কুলের,School’s
1309,ধারত,গালাত,দারে,ধারে ,Near
1310,চুলোত,উনদাল,চুলায় ,চুলায় ,Stove
1311,হবি,কইবে,কবি,বলবি,Will say
1312,চুরি,ছুরি,চুরি,চুরি ,Steal
1313,গেলাসত,গল্লাসো,গ্লাসে,গ্লাসে ,In the glass
1314,হবরধার,খবরদার ,খবরদার ,খবরদার ,Beware
1315,কুত্তার,কুত্তার,কুত্তার,কুকুরের ,Dog’s
1316,হাঁন্দে,খান্দে,কান্দে,কাঁদে,Shoulder
1317,গাল,গাইল,গালে,গাল ,Cheek
1318,গালত,গালে,গালে,গালে,On the cheek
1319,বেআ,তেড়া,ব্যাহা,বাঁকা,Crooked
1320,ছেঁচি,ছাচিয়া,ছাইচা,ছেচে ,Cut
1321,বুজে,বুইছো,বুইজ্জা,বুঝে ,Understand
1322,বুঝন,বুইছো,বোজ্জেন,বুঝেছেন ,Understood
1323,ফিস্তানর,প্রজন্মর,পোরজন্ম,প্রজন্মের ,Generation’s
1324,হাস়ে,গালাত,ধারে,কাছে,Near
1325,মা-বাফ,বাবা-মা,বাফে-মা,বাবা-মা,Parents
1326,জো,জাউকা ,যান ,যান,Go
1327,ডাইক্কো,ডাকবা,বোলাইবেন,ডাকবেন,Will call
1328,লাইগ্গে ,লাগছে,লাগযে,লেগেছে,Felt
1329,তান্দা,ঠান্ডা,ঠান্ডা,ঠান্ডা,Cold
1330,জো,যাউকগা ,লয়েন,চলুন,Let's go
1331,ঐইন্দি,হন,ঐহানে,ওখানে,There
1332,উল্ডা ফলদা,উল্টা পাল্টা,উল্ডা ফলদা,উল্টাপাল্টা ,Upside down
1333,উল্ডা ,উল্টা ,উল্ডা ,উল্টা,Reverse
1334,ফলদা,পাল্টা,ফলদা,পাল্টা,Reverse
1335,লেদা,হুকনা,হুগনা,রোগা,Thin
1336,শুক্রবার,শুক্রবার,শুক্কুরবার,শুক্রবার,Friday
1337,জীবন্নান ,জিন্দেগি ,জীবনডা ,জীবনটা,Life
1338,আন্ধার,আইন্ধাইর,আন্ধার,অন্ধকার,Darkness
1339,বেকগুন,হখল,বেবাগডি,সবাই,Everyone
1340,এক্কফোয়ারে,এখলগে,একলগে,একসাথে,Together
1341,লুডি,হুতি,হুইয়া,শুয়ে,Lying
1342,আহো,চলো,লও,চলো,Let's go
1343,গুন্ডি,ঘুড্ডি,ঘুড্ডি,ঘুড়ি,Kite
1344,আরে,মোরে,মোরে,আমাকে,Me
1345,গুড়াকাল,ছোটকাল,লেদাকাল,ছোটবেলায়,In childhood
1346,আজিয়া,আইজ,আইজ,আজকে,Today
1347,এফফোডাও,একবারেও,মোডেও,একদমই,Completely
1348,গরে,করইন,করে,করে,Do
1349,বালা,ভালা,ভালো,ভালো,Good
1350,হদে,কিতাত,কম্মে,কোথায়,Where
1351,ফরি,পড়ছি,পড়তেয়াছি,পড়ছি,Studying
1352,হাইতে,খাইতে,খাইতে,খেতে,Eat
1353,ফরি,পড়ছি,পড়তেয়াছি,পড়ছি,Studying
1354,এগগা,এগু,একটা,একটি,One
1355,অনে,আফনে,অমনে,আপনি,You
1356,ইচা,ইচা,ইচা,চিংড়ি,Shrimp
1357,গরন যে,করার,করতেয়াছেন,করছেন,Doing
1358,বই,বই,বই,বই,Book
1359,সরকারি,সরকারি,সরকারি,সরকারি,Government
1360,কর্মকর্তা,কর্মকর্তা,কর্মকর্তা,কর্মকর্তা,Officer
1361,আছিলো,আছিলো,আছেলো,ছিলো,Was
1362,বাই,ভাই,ভাই,ভাই,Brother
1363,এন গরি,ওলা,এমনে,এভাবে,Like this
1364,কিন্তু,কিন্তু,তয়,কিন্তু,But
1365,তাকি,থাকি,থাহি,থাকি,Live
1366,মায়াত,মায়াত,মায়ায়,মায়ায়,In love
1367,ফরিগি,পরছি,পরছি,পরেছি,Fell
1368,চোখোর,চোউখের,চোহের,চোখের,Eyes
1369,হাসি,হাসি,হাসি,হাসি,Smile
1370,বহুত,যে,বেমালা,অনেক,A lot
1371,ফরিবার,পরিবাররে,পরিবাররে,পরিবারকে,Family
1372,বালোবাসে,ভালা ফায়,ভালোবাসে,ভালোবাসে,Loves
1373,লাই,লাগি,লাইগা,জন্য,For
1374,বেগগিন,হকলতা,সবকিছু,সব কিছু,Everything
1375,গরিত,করতাম,করতে পারি,করতে,Do
1376,ফারি,ফারি,পারি,পারি,Can
1377,চুললিন,চুলগুন,চুলগুলান,চুলগুলো,The hair
1378,হাজল,কাজল,কাজল,কাজল,Kohl
1379,দিলে,দিলে,দেলে,দিলে,Gave
1380,থাকিলে,থাকলে,থাকলে,থাকলে,If stayed
1381,এদে,অনো,এইহানে,এখানে,Here
1382,খুশি,খুশি,খুশি,এখাখুশি,Happy here
1383,গাড়িয়ান,গাড়ি ওগু,গাড়িডা,গাড়িটা,The car
1384,গতো হালিয়া,গতকাইল,গতকাইল,গতকাল,Yesterday
1385,চুরি,চুরি,চুরি,চুরি,Theft
1386,ঘরত,বাসাত,বাসায়,বাসায়,At home
1387,ওইয়ে,অই গেছে,হইছে,হয়েছে,Has happened
1388,সহজ,সহজ,সহজ,সহজ,Easy
1389,ভাষাত,ভাষায়,ভাষায়,ভাষায়,In language
1390,হতা,মাত,কথা,কথা,Talk
1391,হউয়া,মাতা,কওয়া,বলা,To say
1392,উচিৎ,উচিৎ,উচিৎ,উচিৎ,Should
1393,ফয়ারে,লগে,লগে,সংগে,With
1394,আছি,আছি,আছি,আছি,Am
1395,বিদেশ,বিদেশ,বিদেশ,বিদেশ,Abroad
1396,তাকে,থাকোইন,থাকে,থাকে,Stays
1397,বইন,বইন,বুইন,বোন,Sister
1398,বড়,বড়,বড়,বড়,Big
1399,নাম,নাম,নাম,নাম,Name
1400,ঘুইরতো,ঘুরাত,ঘোরতে,ঘুরতে,To roam
1401,যাওয়া,যাওয়া,যাওয়া,যাওয়া,To go
1402,স্বপ্ন,স্বপ্ন,স্বপ্ন,স্বপ্ন,Dream
1403,ভুইল্লম,ভুলতাম,ভুলমু,ভুলবো,Will forget
1404,ন,না,না,না,Not
1405,জীবনের,জীবনের,জীবনের,জীবনের,Of life
1406,আলো,আলো,আলো,আলো,Light
1407,গেরামত,গ্রামো,গেরামে,গ্রামে,In the village
1408,আগে,আগে,আগে,আগে,Before
1409,টুফি,টুপি,টুপি,টুপি,Cap
1410,ইয়াল,শিয়াল,হিয়াল,শিয়াল,Fox
1411,যার,যাইতোআছিলো,যায়তেয়াছেলো,যাচ্ছিলো,Was going
1412,গান,গান,গান,গান,Song
1413,ফারিবা,ফারতায়,পারবা,পারবে,Will be able
1414,এহন,ওখন,এহন,এখন,Now
1415,ঘুম যায়,ঘুমায়,ঘুমায়,ঘুমায়,Sleeps
1416,বেলা,বেলা,বেলা,বেলা,Time
1417,উফার,উপহার,উপহার,উপহার,Gift
1418,জন্মদিন,জন্মদিন,জন্মদিন,জন্মদিন,Birthday
1419,ঘড়িত,ঘড়িত,ঘড়িতে,ঘড়িতে,In the clock
1420,ঘড়ি,ঘড়ি,ঘড়ি,ঘড়ি,Watch
1421,আজিয়া,আইজ,আইজ,আজকে,Today
1422,দুইরগা,দুপুর বেলা,দুফারে,দুপুরে,In the afternoon
1423,দাওত,দাওয়াত,দাওয়াত,দাওয়াত,Invitation
1424,তারিখ,তারিখ,তারিখ,তারিখ,Date
1425,হতো,কতো,কয়,কতো,How many
1426,হামর নিতি,ভালা কাম,ভালো কাম,নৈতিক কাজ ,Ethical work
1427,অ়রকত্,ইশারা-ইংগিত,অঙ্গভঙ্গি,অঙ্গভঙ্গি,Gesture
1428,আজ্জুব,ফায়-ফরিস্কার,আসা করা,প্রত্যাশা,Expectation
1429,হ়াস,বিশেষ ,বিশেষ,বিশেষ,Special
1430,বারিশের,বর্ষার,দেওইর,বর্ষার ,Of the monsoon
1431,গরম,করই,গরম,গরম,Hot
1432,তাইজ্জুব,দেখা,আশ্চর্য,আশ্চর্য,Amazing
1433,হুঁশ,দাগ,ছাপ,ছাপ,Mark
1434,গলন,হামানি,ঢোকা,প্রবেশ ,Entrance
1435,মানা,আফত্তি,নিষেত,নিষেধ ,Prohibition
1436,সিন্দা,চিন্তা,চিন্তা,চিন্তা,Thought
1437,লরি,ফাখাইয়া,ঘুইররা,ঘুরে ,Turning
1438,সরি,ফিরিয়া,আইয়া,ফিরে ,Returning
1439,ফঅরি,ভুলিয়া ,জিগাইন্না,ভুলে,Forgot
1440,ফুসোঁর,জিকানি,ভুলে,জিগ্যেস  ,Ask
1441,গেইয়্যু,গেছো,গ্যাছো,গেছো ,Went
1442,আইশ্যুন,আইছইন,আইছেন,এসেছেন ,Has come
1443,আতাই,সৎ,সৎ,সৎ,Honest
1444,মেসাল,উদাহরণ ,উদারন,উদাহরণ ,Example
1445,তরিকা,পথ,পদ্ধতি ,পদ্ধতি ,Method
1446,মেলা,মেলা,ম্যালা,মেলা ,Fair
1447,সজ্জিন্না,সুন্দর ,সুন্দর ,নান্দনিক,Aesthetic
1448,ইনসাফ,সালিশ,বিচার,বিচার ,Judgment
1449,লাম্বায়ু,লম্বা হায়াত,দীর্ঘায়ু,দীর্ঘায়ু,Longevity
1450,সাফাই,ফায়-ফরিস্কার,পয় পরিষ্কার ,পরিচ্ছন্নতা ,Cleanliness
1451,জিতবাত,ঠেসাঠেসি ,প্রতিযোগিতা ,প্রতিযোগিতা ,Competition
1452,দিলি,দিয়া,দিয়া,দ্বারা ,By
1453,আসম্বিত,আখতা,আচুক্কা,হঠাৎ ,Suddenly
1454,ন সায়দে,চাইন না,চায়না ,চায়না ,China
1455,হইতু,মাত্তা,কইতে,বলতে,To say
1456,শনিবার,শনিবার ,শুনিবার,শনিবার,Saturday
1457,রইবার,রইব্বার,রইব বার ,রবিবার ,Sunday
1458,লাগাতার,হকলসময়,একটায়া,অবিরাম ,Continuous
1459,লাজা ,রাজা,রাজা,রাজা ,King
1460,মইশ ,ভইস,মইশ,মহিষ,Buffalo
1461,ফাইয়্যুন ,পাইছো,পাইছেন,পেয়েছেন ,Has received
1462,অ়াজাইয়্যুন,হারাইছো,আরাইছেন,হারিয়েছেন,Has lost
1463,দুনো,উভয়ই,দুইজনেই,উভয়,Both
1464,দুনোয়ো ,দুটো,দুইডা,দুটো ,Two
1465,য্যাত্তে,যখন,যেসময় ,যখন ,When
1466,শাস্তি ,শান্তি,সান্তি,শাস্তি ,Punishment
1467,হ়ালি,খালি,ফাহা,ফাঁকা,Empty
1468,গরীবাদে,কৃতজ্ঞ,কৃতজ্ঞ ,কৃতজ্ঞ ,Grateful
1469,অইলে,হইন,হন ,হন ,Be
1470,হামাহা,অবশ্যই ,অবশ্যই,অবশ্যই,Certainly
1471,হিন্দুস্তানি,ইন্দুস্তানি,হিন্দুস্তানি ,হিন্দুস্তানি,Hindustani
1472,ডাহ,ডাখ,বোলা,ডাক ,Call
1473,জোয়াব,লাড়া,হুমাইল,সাড়া ,Response
1474,দীয়ুম,দিমু,দিমু,দেব,Will give
1475,মিশাল মে,মিশাইলে,সবমিলাইয়া ,সংমিশ্রণে,In combination
1476,তইরি ,বানাইল,সিষ্টি,সৃষ্ট ,Created
1477,হুআহা,অইছে,অইছে,হয়েছে ,Has happened
1478,হিন্দি-উর্দু কা,হিন্দি-উর্দূর,হিন্দি উর্দুর,হিন্দি-উর্দুর ,Hindi-Urdu
1479,তরেই,লাখান,মতো ,মতো ,Like
1480,লগেই,লাগে,লাগে,লাগে,Feels
1481,ফরিবু,লাগবো,লাগবে ,লাগবে ,Will feel
1482,ভাত্তোমনা,শালিক পাখি,হালিক পাখি,শালিক পাখি,Mynah bird
1483,হাউওয়ো,কাউয়্যা,কাউয়া,কাক,Crow
1484,মুলিছাফ,মোল্লা,মাওলানা ,মাউলানা ,Maulana
1485,হাইস্যে,উরির বিছ,শিমের আডি,শিমের বিচি,Bean seed
1486,গ়রত,বাড়ি,ঘর,বাড়ি ,Home
1487,যাবিগ়ই,আইবে,আবি,আসবি ,Will come
1488,বেইল ডুফিবার,সূর্যাস্তের,সুর্যডোবায়,সূর্যাস্তের,Sunset
1489,ফকফকা আলো।,বিয়ানবালা,বেইন্না সময়,সকালবেলা,In the morning
1490,ফ়ুট,পেক,কাদা মাডি,কাদামাটি,Mud
1491,শেদেনা,সজনি,আত্মিয়,সজনে ,Drumstick (tree)
1492,ঠেইল,ডাইল,ডাইল,ডাল ,Branch
1493,মাটির ঘর,মাটির ঘর,মাডির ঘর,মাটির ঘর ,Mud house
1494,মাটির,মাটির,মাডির,মাটির ,Clay
1495,মিয়েতারা,মাছরাঙ্গা,মাচ রাংগা,মাছরাঙ্গা,Kingfisher
1496,বুরির স়ুল,হাওয়ার মিটাই,ছোন পাপড়ি,হাওয়ায় মিঠাই ,Sweets in the air
1497,স-সঅ,চাও,চাও,চাও ,Want
1498,জ-জ৴,যাও,যা,যাও ,Go
1499,ট-টর ,তাড়াতাড়ি,তরতরি,তাড়াতাড়ি  ,Quickly
1500,ট়-ট়া৴র,খিয়াল,খেয়াল,খেয়াল ,Attention
1501,ত-তৈ,এর্বাদে,হেরপর,তারপর,Afterward
1502,ত়-ত়ক,থাকা,থাহা,থাকা ,Stay
1503,হান্দের,কান্দের,কানছে,কাঁদছে,Crying
1504,আকাশের,আকাশের,আহাসের,আকাশের,Of the sky
1505,চাইত,চাইতে,চাইতে,চাইতে,To ask for
1506,গিয়্যি,গেছি,জাইয়া,গিয়ে ,Going
1507,দোকানত,দোকানে,দোহানে,দোকানে,In the shop
1508,এরম,ওউ রকম ,এইরহম,এরকম ,Like this
1509,হইলাম,কইলাম ,কইলাম,বললাম,I said
1510,হইলো,কইলো ,কইলো,বলল,He/she said
1511,গরাবা,করাইবা ,হরবা,করবা,Will do
1512,ফুয়া ,ফুরুত্তা ,বাচ্চা ,বাচ্চা ,Child
1513,তুন,থাকি,অইতে,থেকে ,From
1514,আরো,আর,আরও ,আরো,More
1515,ইতারারে,তারারে ,হেগো,তাদেরকে,To them
1516,ফাইত্ত,পারবায়,পারবে,পারবে,Will be able
1517,জানো,জানো,জানো,জানো,You know
1518,নাইজ্জল,নাইকল,নাহইল,নারকেল,Coconut
1519,হতা হইতু,মাত্তা,কিইতে,বলতে ,To say
1520,পইরত,পুশকুনি,পুহুরে,পুকুরে,In the pond
1521,গরন,করো,হরেন,করেন,Do
1522,বাপেরে,বাবাকে,আব্বারে,বাবাকে,To father
1523,মুরো,টিলা,উচা জাগা,টিলা ,Hill
1524,হাশরর,হাশরের,হাশরের,হাশরের,Of the Doomsday
1525,হাশি,খাউয়ানি,কাশি,কাশি,Cough
1526,আইশ্যু,আইছো,আইছো,এসেছো,You have come
1527,দরঅঁত,বেদ-না,ব্যাতা,ব্যাথা,Pain
1528,উজু,সিদা,সোজা,সোজা,Straight
1529,আইল্লে,চাষি,কিসক,কৃষক,Farmer
1530,দাবায়,অউসধ,অসুদ,ঔষুধ,Medicine
1531,ছলই,ম্যাচকাঠি,ম্যাজবাতি,দিয়াশলাই,Matchstick
1532,গৌর,খামলা,কামলা,শ্রমিক,Worker
1533,জবিন,জমি,জমিন,জমিন,Land
1534,স্ট্যাম্প ,স্টাম্প,স্টাম্প ,স্টাম্প ,Stamp
1535,পেপারত,পেপারো,পেপারে,পেপারে,On the paper
1536,দ়-দ়,ভাগো,পলাও,পালাও,Run
1537,গইটগইট্টে,ফুটন্ত,ফুডুইন্না,ফুটন্ত,Boiling
1538,গইটঘইট্টে ,টাটকা ,টুকটুইক্কা,টকটকে,Bright red
1539,বোরইত্,জামাই পক্ষ ,জামাইপক্ষ,বরপক্ষ,Groom's party
1540,তাল,জিদ,বায়না,বায়না,Demand
